LOC_ID,LOC_NAME,AUSPICE,STR_NO,STREET,UNIT,PCODE,ward,PHONE,bldg_type,bldgname,IGSPACE,TGSPACE,PGSPACE,KGSPACE,SGSPACE,TOTSPACE,SUBSIDY,GC_GEOID,LONGITUDE,LATITUDE,run_date
1013,Lakeshore Community Child Care Centre,Non Profit Agency,101,SEVENTH ST,,M8V 3B5,6,416-394-7601,Public Elementary School,Seventh Street Public School,0,20,32,40,60,152,Y,1031242,-79.50463054,43.59991069,20-Apr-16
1014,Alternative Primary School Parent Group,Non Profit Agency,1100,SPADINA RD,,M5N 2M6,16,416-322-5385,Public Elementary School,North Preparatory Public School,0,0,16,20,45,81,Y,870542,-79.42038828,43.70549092,20-Apr-16
1015,Cardinal Leger Child Care Centre,Non Profit Agency,600,MORRISH RD,,M1C 4Y1,44,416-287-0578,Catholic Elementary School,Cardinal Leger Catholic School,0,10,16,26,35,87,Y,365821,-79.17571109,43.79310442,20-Apr-16
1016,George Brown - Richmond Adelaide Child Care Centre,Non Profit Agency,130,ADELAIDE ST W,MEZZANINE LEVEL,M5H 3P5,28,416-415-2453,Other,,10,15,40,0,0,65,Y,10222910,-79.38381243,43.64969099,20-Apr-16
1017,Woodland Nursery School,Non Profit Agency,1,FIRVALLEY CRT,BOX B,M1L 1N8,35,416-694-1138x151,High Rise Apartment,,0,0,30,0,0,30,N,334543,-79.28102863,43.70295236,20-Apr-16
1021,Centennial College Progress Campus Child Care Centre,Non Profit Agency,941,PROGRESS AVE,,M1G 3T8,38,416-289-5000x2110,Community College/University,Centennial College Of Applied Arts & Technology,10,20,16,0,0,46,Y,13503978,-79.22702962,43.78527327,20-Apr-16
1029,Air-O-Down Child Care Centre,Non Profit Agency,7,HAWKSDALE RD,,M3K 1W3,9,416-633-2014,Public High School,Downsview Secondary School,10,15,24,0,0,49,Y,525550,-79.47966088,43.73040435,20-Apr-16
1031,Cedarbrae Day Nurseries (Greencrest),Commercial Agency,20,GREENCREST CIRCT,,M1G 1B8,43,416-431-2504,High Rise Apartment,Greencrest Property,0,0,16,12,18,46,Y,340155,-79.22343125,43.75836953,20-Apr-16
1036,A B C  Day Nursery,Commercial Agency,145,MARLEE AVE,,M6B 3H3,15,416-789-5011,High Rise Apartment,,10,15,24,20,25,94,Y,67882,-79.44103039,43.70326335,20-Apr-16
1037,Tiago Avenue Community Child Care,Non Profit Agency,145,TIAGO AVE,,M4B 2A6,31,416-285-5644,Public Elementary School,Victoria Park Public School,0,0,21,0,20,41,Y,3259557,-79.29815396,43.71269778,20-Apr-16
1041,Ledbury Park Child Care Program,Non Profit Agency,95,FALKIRK ST,,M5M 4K1,16,416-782-2539,Public Elementary School,Ledbury Park Public School,0,0,24,39,45,108,Y,7110840,-79.42732589,43.72739907,20-Apr-16
1044,Alderwood Action After School,Non Profit Agency,544,HORNER AVE,,M8W 2C2,6,416-259-7738,Public Elementary School,Sir Adam Beck School,0,15,32,44,90,181,Y,6735862,-79.54816511,43.60161044,20-Apr-16
1045,Children's Village #1 Day Care Centre,Commercial Agency,1050,MARKHAM RD,,M1H 2Y7,38,416-438-3355,High Rise Apartment,,10,10,32,12,30,94,Y,6576197,-79.23157073,43.77437348,20-Apr-16
1046,Ferncliff Daycare And After School Group,Non Profit Agency,128,FERN AVE,,M6R 1K3,14,416-588-1463,Public Elementary School,Ferncliff Public School,0,0,32,44,72,148,Y,8007871,-79.4461161,43.64518889,20-Apr-16
1055,Balmy Beach Community Day Care,Non Profit Agency,14,PINE AVE,ROOM 107,M4E 1L6,32,416-698-5668,Public Elementary School,Balmy Beach Public School,0,0,24,30,50,104,Y,7667200,-79.28982694,43.67643591,20-Apr-16
1059,Mimico Day Care Centre,Commercial Agency,46,MIMICO AVE,,M8V 1R1,6,416-255-4748,Commercial Building,Memorial Hall 1916-1918,0,14,24,0,0,38,N,7560936,-79.49150464,43.6135977,20-Apr-16
1060,Braeburn Woods Day Care Centre,Non Profit Agency,15,TANDRIDGE CRES,,M9W 2N8,2,416-745-9472,Public Elementary School,Braeburn Junior School,0,10,16,20,30,76,Y,1035925,-79.5488671,43.72803842,20-Apr-16
1065,Child's Nest Infant Day Care Centre,Non Profit Agency,121,COSBURN AVE,,M4J 2L1,29,416-421-6984,House,,20,20,0,0,0,40,Y,19804,-79.34738971,43.68948449,20-Apr-16
1067,Martingrove Child Care Centre,Commercial Agency,256,JOHN GARLAND BLVD,131 & 132,M9V 1N8,1,416-742-1812,House,,0,15,24,10,15,64,Y,10144867,-79.59096139,43.73426956,20-Apr-16
1070,Discovery Place Child Care Centre,Commercial Agency,22,TUXEDO CRT,,M1G 3S3,38,416-439-0521,Purpose Built,,10,20,48,20,45,143,Y,14258143,-79.22964267,43.78054307,20-Apr-16
1072,Carefree Preschool,Commercial Agency,370,DIXON RD,,M9R 1T2,2,416-244-5529,High Rise Apartment,,10,15,48,0,30,103,Y,6125248,-79.55615774,43.69591518,20-Apr-16
1079,Eastside Child Care Centre,Non Profit Agency,20,WALDOCK ST,,M1E 2E5,43,416-282-9998,Public Elementary School,Eastview Public School,0,10,16,20,0,46,Y,395203,-79.19133848,43.75907127,20-Apr-16
1082,Macaulay Child Development - Regent Street,Non Profit Agency,48,REGENT ST,,M6N 3N9,12,416-769-1253,Purpose Built,,10,10,24,0,0,44,Y,71048,-79.4700873,43.68107214,20-Apr-16
